bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:20.576Z level=INFO fiber=#35 message="Gateway run started" gateway:run=0ms runId=run-bravo transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:20.789Z level=INFO fiber=#407 message="getNodeOutput completed" runId=run-atlas durationMs=1.2371249999999918 nodeId=checkpoint status=produced iteration=0 rowBytes=60 service=smithers
timestamp=2026-06-15T01:11:20.790Z level=INFO fiber=#416 message="getNodeOutput completed" runId=run-bravo durationMs=0.47974999999996726 nodeId=checkpoint status=produced iteration=0 rowBytes=60 service=smithers
timestamp=2026-06-15T01:11:20.790Z level=INFO fiber=#420 message="getNodeOutput completed" runId=run-atlas durationMs=0.3489160000000311 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.815Z level=INFO fiber=#424 message="getNodeOutput completed" runId=run-atlas durationMs=0.27062499999999545 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.837Z level=INFO fiber=#428 message="getNodeOutput completed" runId=run-atlas durationMs=0.22233300000004874 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.858Z level=INFO fiber=#442 message="getNodeOutput completed" runId=run-atlas durationMs=0.45366599999999835 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.881Z level=INFO fiber=#448 message="getNodeOutput completed" runId=run-atlas durationMs=0.34866599999998016 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.904Z level=INFO fiber=#454 message="getNodeOutput completed" runId=run-atlas durationMs=0.40650000000005093 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.930Z level=INFO fiber=#460 message="getNodeOutput completed" runId=run-atlas durationMs=1.5582500000000437 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.956Z level=INFO fiber=#466 message="getNodeOutput completed" runId=run-atlas durationMs=1.693125000000009 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:20.980Z level=INFO fiber=#472 message="getNodeOutput completed" runId=run-atlas durationMs=0.8116250000000491 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.005Z level=INFO fiber=#478 message="getNodeOutput completed" runId=run-atlas durationMs=1.284667000000013 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.032Z level=INFO fiber=#484 message="getNodeOutput completed" runId=run-atlas durationMs=1.4393330000000333 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.061Z level=INFO fiber=#490 message="getNodeOutput completed" runId=run-atlas durationMs=1.2203329999999823 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.087Z level=INFO fiber=#496 message="getNodeOutput completed" runId=run-atlas durationMs=1.3090829999998732 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
